Nom,Catégorie,INCI,Nom botanique,Partie plante,Composantes majoritaires,Point éclair,Provenance,Bio,Source,URL produit,Qualité,Statut,Date scraping
Basilic exotique (ct. estragol),Huiles essentielles,Ocimum Basilicum Oil,Ocimum basilicum,sommité fleurie,,75 °C (167 °F),Inde,Non,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/basilic-exotique,Propre,✅ OK,2026-03-21
Bergamote bio,Huiles essentielles,Citrus aurantium bergamia fruit oil,Citrus bergamia,zeste,,"59 °C (138,2 °F)",Italie\/Inde\nFournisseur certifié biologique.,Oui,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/bergamote,Propre,✅ OK,2026-03-21
Bois de Hô,Huiles essentielles,Cinnamomum camphora linalooliferum wood oil,Cinnamomum camphora ct linalol,feuille,,75 °C (167 °F),Chine,Non,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/bois-de-ho,Propre,✅ OK,2026-03-21
Camomille romaine 10%,Huiles essentielles,"Caprylic\/capric triglycerides, Chamaemelum nobile (Chamomile) flower oil\n",Chamaemelum nobile,fleurs,,,France,Non,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/huile-essentielle-de-camomille-romaine,À valider,⚠️ INCI suspect,2026-03-21
Carotte sauvage,Huiles essentielles,Daucus carota (Carrot) seed oil,Daucus carota,graines,,,Inde,Non,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/carotte-sauvage,Propre,✅ OK,2026-03-21
Ciste ladanifère bio,Huiles essentielles,Cistus ladaniferus (Cistus) leaf oil,Cistus ladaniferus,feuilles,,,Maroc,Oui,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/ciste-ladanifere,Propre,✅ OK,2026-03-21
Citron,Huiles essentielles,Citrus medica limonum peel oil,Citrus limonum,zeste,,49 °C (120 °F),Italie,Non,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/citron,Propre,✅ OK,2026-03-21
Clou de girofle,Huiles essentielles,Eugenia caryophyllus flower oil,Eugenia caryophyllus,bouton floral,,93 °C (199 °F),Indonésie,Non,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/clou-de-girofle,Propre,✅ OK,2026-03-21
Épinette noire,Huiles essentielles,Picea mariana oil,Picea mariana,,,46 °C (114 °F),Canada,Non,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/epinette-noire,Propre,✅ OK,2026-03-21
Huile d'abyssinie (crambe),Huiles essentielles,Crambe abyssinica oil,Crambe abyssinica,semences,,,Canada,Non,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/huile-dabyssinie-crambe,Propre,✅ OK,2026-03-21
Eucalyptus citronné,Huiles essentielles,Eucalyptus citriodora oil,Eucalyptus citriodora,,,78 °C (172 °F),Inde,Non,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/eucalyptus-citronne,Propre,✅ OK,2026-03-21
Eucalyptus globuleux,Huiles essentielles,Eucalyptus globulus leaf oil,Eucalyptus globulus,,,44 °C (111 °F),Chine,Non,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/eucalyptus-globulus,Propre,✅ OK,2026-03-21
Géranium rosat,Huiles essentielles,Pelargonium graveolens flower oil,Pelargonium graveloens,,,91 °C (195 °F),Égypte,Non,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/geranium-rosat,Propre,✅ OK,2026-03-21
Hélichryse italienne (immortelle) 10%,Huiles essentielles,"Caprylic\/capric triglycerides, Helichrysum (Helichrysum) italicum flower oil\n",Helichrysum italicum,sommités fleuries,,,Slovénie,Non,Les Mauvaises Herbes,https://boutique.lesmauvaisesherbes.com/collections/huiles-essentielles/products/helichryse-italienne-immortelle,À valider,⚠️ INCI suspect,2026-03-21
