Nom,Catégorie,URL,INCI,Nom botanique,Texte brut,Qualité,Date
Argile bentonite,Argiles,https://www.purearome.com/fr/produit/argile-bentonite,Sodium bentonite,,,,2026-03-27
Argile blanche (Kaolin),Argiles,https://www.purearome.com/fr/produit/argile-blanche-kaolin,Kaolin (Bolus Alba,,"Argile Kaolin Accueil Produits Argiles Argile blanche (Kaolin) Argile blanche (Kaolin) Sku: KAOLIN En stock Argile blanche (Kaolin) Sku: KAOLIN En stock 5,95 $ CAD Produit non disponible à l'achat en ligne Partager Argile blanche Kaolin Inci : Kaolin (Bolus Alba) CAS : 1332-58-7 Kaolin aussi appelée argile blanche, est naturellement riche en sels minéraux (fer, zinc, silicium, magnésium, potassium, calcium…). Réputée apaisante et purifiante, elle est idéale pour les peaux sèches, irritées et fragiles pour dégonfler la peau et apaiser le feu cutané. Utilisée en masque ou en cataplasme, elle convient parfaitement pour les petits bobos et les irritations. Elle est aussi reconnue pour adoucir la peau ou bien même renforcer les cheveux secs, ont l'emploi également dans la fabrication de savon et shampoing. Pour usage externe seulement ",Propre,2026-03-27
Argile ghassoul / rhassoul,Argiles,https://www.purearome.com/fr/produit/argile-ghassoul-rhassoul,Marroccan lava clay,,"Argile Ghassoul / Rhassoul Accueil Produits Argiles Argile ghassoul / rhassoul Argile ghassoul / rhassoul Sku: ARGHAS En stock Argile ghassoul / rhassoul Sku: ARGHAS En stock 8,50 $ CAD Produit non disponible à l'achat en ligne Partager Argile Rhassoul du Maroc (Ghassoul) Inci : Marroccan lava clay CAS : 12417-86-6 Véritable &quot;terre qui lave&quot;, le Rhassoul est une argile volcanique récoltée dans la région du Moyen Atlas au Maroc. Il s'utilise pour préparer des shampooings en pâte doux et purifiants grâce à son aptitude exceptionnelle à absorber les impuretés sans irriter la peau. C'est un élément incontournable des rituels du hammam. A la différence des shampooings et savons, le Rhassoul ne contient aucun tensioactif et nettoie selon un processus physique en absorbant les impuretés et les graisses. Il respecte ainsi le film hydrolipidique de la peau et du cheveu et n'irrite pas les glandes sébacées. ",Propre,2026-03-27
Argile multani mitti,Argiles,https://www.purearome.com/fr/produit/argile-multani-mitti,Solum fullonum,,"Argile Multani Mitti Accueil Produits Argiles Argile multani mitti Argile multani mitti Sku: MULTANI En stock Argile multani mitti Sku: MULTANI En stock 6,50 $ CAD Produit non disponible à l'achat en ligne Partager Argile Multani Mitti Inci : Solum fullonum CAS : 8031-18-3 Cette argile indienne s'utilise en association avec des poudres de plantes pour nettoyer et purifier la peau et les cheveux. Elle fait merveille notamment pour préparer des masques aux poudres ayurvédiques, ou des shampooing pâte ""no poo"". Particulièrement appréciée par les peaux et cheveux gras, elle élimine en douceur les impuretés et cellules mortes. Elle est aussi connue sous le nom de terre à foulon et peut s'utiliser comme produit ménager écologique pour absorber les taches de gras ou préparer une ""pierre d'argile"". ",Propre,2026-03-27
Argile rose,Argiles,https://www.purearome.com/fr/produit/argile-rose,Kaolin (Bolus Alba) / Illite (Bolus Alba),,"Argile Rose Accueil Produits Argiles Argile rose Argile rose Sku: ARGROSE En stock Argile rose Sku: ARGROSE En stock 8,50 $ CAD Produit non disponible à l'achat en ligne Partager Argile Rose INCI : Kaolin (Bolus Alba) / Illite (Bolus Alba) CAS : 1332-58-7 L'argile Rose Pure arôme est reconnus pour adoucir la peau et renforce les cheveux secs, ont l'emploi également dans la fabrication de savon et shampoing. Apaisante et purifiante, elle est idéale pour les peaux sèches, irritées et fragiles pour dégonfler la peau et apaiser le feu cutané. Utilisée en masque ou en cataplasme, elle convient parfaitement pour les petits bobos et les irritations. ",Propre,2026-03-27
Argile rouge,Argiles,https://www.purearome.com/fr/produit/argile-rouge,Illite red clay,,"Argile Rouge Accueil Produits Argiles Argile rouge Argile rouge Sku: ARGROU En stock Argile rouge Sku: ARGROU En stock 11,50 $ CAD Produit non disponible à l'achat en ligne Partager Argile Rouge Inci : Illite red clay CAS : 12173-60-3 L'argile rouge est riche en oxyde de fer et en oligo-éléments. Elle fait partie de la famille des illites. L'argile illite rouge minéralise la peau et est idéale pour tout les types de peaux. Elle est idéale pour préparer des masques, cataplasmes, et enveloppements. Cette argile est un indispensable ! ",Propre,2026-03-27
Argile verte surfine montmorillonite,Argiles,https://www.purearome.com/fr/produit/argile-verte-surfine-montmorillonite,Illite (Bolus Alba,,"Argile verte Surfine Montmorillonite Accueil Produits Argiles Argile verte surfine montmorillonite Argile verte surfine montmorillonite Sku: ARVERT En stock Argile verte surfine montmorillonite Sku: ARVERT En stock 9,99 $ CAD Produit non disponible à l'achat en ligne Partager Argile Verte Surfine Montmorillonite Inci : Illite (Bolus Alba) CAS : 1318-93-0 L'argile verte montmorillonite est connue depuis des centaines d'années ; son nom vient de la localité de Montmorillon, dans la Vienne. Notre argile montmorillonite verte surfine est extraite de carrières françaises. Riche en sels minéraux et oligo-éléments et dotée d'une forte capacité d'adsorption, cette argile a des vertus purifiantes sur la peau. Elle s'utilise à merveille pour préparer des soins nettoyants des peaux grasses ou à imperfections et des cuirs chevelus gras ou squameux. ",Propre,2026-03-27
Base Beurre de bain moussant,Bases neutres,https://www.purearome.com/fr/produit/base-beurre-de-bain-moussant,"Glycerin, Aqua, Sorbitol, Sodium Cocoyl Isethionate, Sodium Lauryl Sulfoacetate, Sodium Chloride, Phenoxyethanol, Ethylhexylglycerin.",,"Base Beurre de bain moussant Accueil Produits Base Beurre de bain moussant Base Beurre de bain moussant Sku: BEUBMOUSS En stock Base Beurre de bain moussant Sku: BEUBMOUSS En stock 32,95 $ CAD Produit non disponible à l'achat en ligne Partager Base Beurre de Bain Moussant Sans Parabènes et Sans Propylène Glycol Une belle alternative créative pour des bains luxueux Découvrez notre Beurre de Bain Moussant, une base unique et polyvalente pour vos créations cosmétiques. Idéale pour remplacer les bains moussants liquides ou en gel, cette base vous permet de réaliser des textures onctueuses, comme des beurres meringués, avec toutes les fantaisies de couleurs et de confettis que vous pouvez imaginer. Laissez libre cours à votre créativité et créez des produits de bain personnalisés et ludiques ! Caractéristiques : Sans parabènes et sans propylène glycol : Une composition douce pour la peau et respectueuse de l’environnement. Base non parfumée : Ajoutez vos propres arômes pour une expérience sensorielle unique et sur mesure. Texture crémeuse et moussante : Se transforme en une mousse riche et douce, parfaite pour un moment de relaxation au bain Conseils de Création : Cette base est conçue pour être parfumée selon vos préférences. Nous recommandons un dosage d’arôme entre **1 % et 2 % maximum** pour conserver la sécurité et l’intégrité du produit. Pour une touche spéciale, ajoutez des huiles essentielles / fragrances de votre choix. Que vous soyez un entrepreneur en cosmétique naturelle ou un passionné des soins faits maison, cette base Beurre de Bain Moussant apportera une touche luxueuse et créative à votre collection. Ingrédients : Glycerin, Aqua, Sorbitol, Sodium Cocoyl Isethionate, Sodium Lauryl Sulfoacetate, Sodium Chloride, Phenoxyethanol, Ethylhexylglycerin. Fabriqué au Canada Mise en Garde et Conformité : Avant de commercialiser votre produit fini, assurez-vous de respecter toutes les réglementations en vigueur et de soumettre le formulaire de déclaration des cosmétiques requis par Santé Canada. La conformité réglementaire est de votre responsabilité. . **Usage externe uniquement** : Ce produit est destiné à une utilisation externe. Document : Fiche Technique Base Beurre de bain moussant Pure arome Laboratoire.pdf ",Base,2026-03-27
Base crème épaisse – Neutre,Bases neutres,https://www.purearome.com/fr/produit/base-creme-epaisse-neutre,,,"Base crème épaisse professionnelle – neutre prête à l’emploi  Accueil Produits Base crème épaisse – Neutre Base crème épaisse – Neutre Sku: BCREME En stock Base crème épaisse – Neutre Sku: BCREME En stock 32,95 $ CAD Produit non disponible à l'achat en ligne Partager Base crème épaisse – Neutre Cette base crème épaisse est une base cosmétique professionnelle, hautement polyvalente et conçue pour être entièrement personnalisée. Sa texture riche, stable et homogène permet de créer une grande variété de produits : crème mains, crème corporelle, lotion fluide, gel-crème visage, soin parfumé, base massage, et bien plus. Elle ne doit pas être utilisée telle quelle. La base est intentionnellement concentrée pour permettre au client d’ajouter entre 5 à 75 % d’eau distillée selon la texture désirée. Vous pouvez la fluidifier, l’alléger, la doubler en volume ou la rendre encore plus riche selon vos besoins. Formulation douce, hydratante et stable, sans TEA, sans SLS, sans SLES, sans alcool , parfaitement compatible avec les huiles, fragrances, huiles essentielles, actifs liposolubles et hydrosolubles. Ingrédients (formule améliorée) Aqua (Water), Helianthus annuus (Sunflower) Seed Oil, Cetearyl Alcohol, Polysorbate 60, Simmondsia chinensis (Jojoba) Seed Oil, Limnanthes alba (Meadowfoam) Seed Oil, Aloe Barbadensis Leaf Juice, Glycerin, Cetyl Alcohol, Stearic Acid, Palmitic Acid, Tocopherol, Glycine soja (Soybean) Oil, Ascorbic Acid, Potassium Sorbate, Iodopropynyl Butylcarbamate, Diazolidinyl Urea. Caractéristiques techniques Aspect : crème blanche, épaisse, homogène Odeur : neutre Viscosité : élevée (texture crème épaisse) Modulable : peut être diluée avec jusqu’à 75 % d’eau distillée Compatibilité : huiles, actifs, fragrances, HE Qualité : sans TEA, sans alcool, sans SLS/SLES, non testé sur les animaux Conservation : 15–25 °C, à l’abri de l’humidité Provenance : Canada Mode d’emploi NE PAS utiliser la base telle quelle (base concentrée). Ajouter 5 à 75 % d’eau distillée selon la texture désirée. Ajouter fragrances ou huiles essentielles (1–3 %). Ajouter actifs hydrosolubles ou liposolubles compatibles. Mélanger doucement pour éviter l’aération. Emballer dans un contenant propre et stérile. Recettes exemples Crème pour les mains (riche) Base crème épaisse : 80 % Huile végétale : 5 % Eau distillée : 14 % Fragrance : 1 % Crème corporelle (moyenne) Base crème épaisse : 65 % Eau distillée : 30 % Huile végétale : 3 % Fragrance : 1–2 % Lotion hydratante (légère – peut être doublée) Base crème épaisse : 40 % Eau distillée : 55 % Huile végétale : 3 % Fragrance : 1–2 % Gel-crème visage (léger & frais) Base crème épaisse : 45 % Eau distillée : 45 % Gel Aloe : 8 % Fragrance douce : 1–2 % Mise en garde Usage externe uniquement. Ne pas utiliser la base telle quelle sans transformation. Ne pas ingérer. Éviter le contact avec les yeux. Tenir hors de portée des enfants. Ne pas surchauffer la base. Toujours tester vos ajouts sur une petite quantité. Pure Arôme Laboratoire décline toute responsabilité en cas de mauvaise utilisation ou réaction liée au produit fini créé par le client. Mise en garde et conformité Avant de commercialiser votre produit fini, assurez-vous de respecter toutes les réglementations en vigueur et de soumettre la déclaration cosmétique requise par Santé Canada. La conformité demeure sous votre responsabilité. Note importante, mais tout en douceur Les informations partagées ici sont proposées avec rigueur et bienveillance, basées sur les données scientifiques et notre expérience. Elles ne remplacent pas un avis médical. Nous t’encourageons à réaliser des tests en petite quantité dans tes formules. Pure Arôme Laboratoire reste à tes côtés pour t’accompagner 💛. Document : Ingrédients % Base crème épaisse - neutre.pdf ",À valider,2026-03-27
Base de savon à faire fondre – Miel,Bases neutres,https://www.purearome.com/fr/produit/base-de-savon-a-faire-fondre-miel,,,"Melt and Pour Miel – Base Premium Pure Arôme  Accueil Produits Base de savon à faire fondre – Miel Base de savon à faire fondre – Miel Sku: MPMIEL Base de savon à faire fondre – Miel Sku: MPMIEL 13,50 $ CAD Produit non disponible à l'achat en ligne Partager Base de savon à faire fondre – Miel Cette base de savon au miel (melt and pour) est conçue pour offrir une mousse douce, crémeuse et délicatement nourrissante. Sa couleur naturellement dorée et sa douceur proviennent du véritable miel qu’elle contient. Formulée sans TEA et sans ingrédients agressifs, elle fond facilement, se travaille proprement et permet de créer des savons professionnels de haute qualité, que ce soit pour artisans, marques ou créateurs en production continue. Ingrédients Glycerin, Propylene Glycol, Cocos Nucifera (Coconut) Oil, Honey, Sodium Stearate, Sodium Laurate, Sodium Myristate, Sodium Cocoate, Sorbitol, Aminomethyl Propanol, Aqua Caractéristiques techniques Aspect : solide translucide, couleur miel Odeur : douce et neutre Point de fusion : 60–75 °C Solubilité : fond au bain-marie, insoluble dans l’eau Qualité : sans TEA, sans alcool, non testé sur les animaux Conservation : conserver à 15–25 °C, à l’abri de l’humidité Provenance : Canada Mode d’emploi Couper la base en petits cubes pour une fonte uniforme. Faire fondre doucement au bain-marie entre 60–75 °C . Ne jamais dépasser 80 °C (risque d’opacification). Ajouter colorants, exfoliants, huiles ou additifs compatibles. Fragrance : maximum 3 % pour éviter le suintement. Bien mélanger puis couler immédiatement dans un moule propre. Laisser refroidir complètement avant de démouler. Mise en garde Usage externe uniquement . Ne pas utiliser la base telle quelle sans transformation. Éviter tout contact avec les yeux. Ne pas ingérer. Ne pas chauffer dans un contenant fermé. Tenir hors de portée des enfants. Mise en garde et conformité Avant de commercialiser votre produit fini, assurez-vous de respecter toutes les réglementations en vigueur et de soumettre le formulaire de déclaration des cosmétiques requis par Santé Canada. La conformité réglementaire de votre produit fini est sous votre entière responsabilité. Note importante, mais tout en douceur Les informations partagées ici sont proposées avec rigueur et bienveillance, basées sur les données scientifiques et notre expérience. Elles ne remplacent pas un avis médical. Nous t’encourageons à réaliser des tests en petite quantité dans tes formules. Pure Arôme Laboratoire reste à tes côtés pour t’accompagner 💛. Document : Ingrédients % Base de savon à faire fondre – Miel.pdf ",À valider,2026-03-27
